"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\piete\Source\repos\Pansiep\src\creep\helper.ts", "TypeScript", 22, 0, 3, 25
"c:\Users\piete\Source\repos\Pansiep\src\creep\loop.ts", "TypeScript", 30, 1, 7, 38
"c:\Users\piete\Source\repos\Pansiep\src\main.ts", "TypeScript", 35, 4, 4, 43
"c:\Users\piete\Source\repos\Pansiep\src\memory\garbageCollection.ts", "TypeScript", 67, 0, 12, 79
"c:\Users\piete\Source\repos\Pansiep\src\memory\initialization.ts", "TypeScript", 190, 3, 25, 218
"c:\Users\piete\Source\repos\Pansiep\src\memory\stats.ts", "TypeScript", 205, 0, 38, 243
"c:\Users\piete\Source\repos\Pansiep\src\memory\updateCache.ts", "TypeScript", 181, 4, 29, 214
"c:\Users\piete\Source\repos\Pansiep\src\room\helper.ts", "TypeScript", 47, 0, 7, 54
"c:\Users\piete\Source\repos\Pansiep\src\room\loop.ts", "TypeScript", 32, 0, 8, 40
"c:\Users\piete\Source\repos\Pansiep\src\room\visuals.ts", "TypeScript", 124, 0, 20, 144
"c:\Users\piete\Source\repos\Pansiep\src\structure\helper.ts", "TypeScript", 22, 0, 3, 25
"c:\Users\piete\Source\repos\Pansiep\src\structure\loop.ts", "TypeScript", 30, 0, 5, 35
"c:\Users\piete\Source\repos\Pansiep\src\types.d.ts", "TypeScript", 84, 5, 19, 108
"c:\Users\piete\Source\repos\Pansiep\src\utils\config\global.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\piete\Source\repos\Pansiep\src\utils\config\room.ts", "TypeScript", 2, 1, 2, 5
"c:\Users\piete\Source\repos\Pansiep\src\utils\consoleCommands.ts", "TypeScript", 140, 0, 15, 155
"c:\Users\piete\Source\repos\Pansiep\src\utils\constants\creep.ts", "TypeScript", 1, 1, 0, 2
"c:\Users\piete\Source\repos\Pansiep\src\utils\constants\global.ts", "TypeScript", 30, 1, 7, 38
"c:\Users\piete\Source\repos\Pansiep\src\utils\constants\room.ts", "TypeScript", 19, 0, 2, 21
"c:\Users\piete\Source\repos\Pansiep\src\utils\constants\structure.ts", "TypeScript", 13, 0, 2, 15
"c:\Users\piete\Source\repos\Pansiep\src\utils\external\packrat.ts", "TypeScript", 201, 176, 33, 410
"c:\Users\piete\Source\repos\Pansiep\src\utils\logger.ts", "TypeScript", 60, 0, 6, 66
"c:\Users\piete\Source\repos\Pansiep\src\utils\statusGenerator.ts", "TypeScript", 6, 1, 2, 9
"c:\Users\piete\Source\repos\Pansiep\src\utils\wrapper.ts", "TypeScript", 66, 23, 9, 98
"Total", "-", 1610, 220, 260, 2090
